States,Jan & July Public Assist. Participation,Jan & July Non-Public Assist. Participation,Jan & July TOTAL Assist. Participation,CountyState
AR,552,6668,7220,Santa Cruz County Arkansas
AR,250,6248,6498,Yavapai County Arkansas
NV,25004,202549,227553,Yuma County Nevada
AR,24609,177250,201859,Arkansas County Arkansas
NV,49363,373551,422914,Ashley County Nevada
AR,347,4495,4842,Baxter County Arkansas
TX,198,2855,3053,Benton County Texas
AR,165,2636,2801,Boone County Arkansas
TX,16,996,1012,Bradley County Texas
AR,202,6124,6326,Calhoun County Arkansas
AR,182,2620,2802,Carroll County Arkansas
OK,617,28194,28811,Chicot County Oklahoma
AR,657,26038,26695,Clark County Arkansas
OK,1092,51612,52704,Clay County Oklahoma
AR,741,10705,11446,Cleburne County Arkansas
AR,275,7814,8089,Cleveland County Arkansas
AR,2446,26563,29009,Columbia County Arkansas
AR,556,18849,19405,Conway County Arkansas
AR,2481,26723,29204,Craighead County Arkansas
AR,428,5834,6262,Crawford County Arkansas
AR,265,2964,3229,Crittenden County Arkansas
TX,6493,371547,378040,Cross County Texas
AR,5484,323844,329328,Dallas County Arkansas
TX,11712,692427,704139,Desha County Texas
AR,452,6717,7169,Drew County Arkansas
AR,363,7218,7581,Faulkner County Arkansas
AR,990,22602,23592,Franklin County Arkansas
AR,165,6260,6425,Fulton County Arkansas
TX,93,4286,4379,Garland County Texas
AR,98,4227,4325,Grant County Arkansas
TX,26,2253,2279,Greene County Texas
AR,217,3775,3992,Hempstead County Arkansas
AR,1196,29397,30593,Hot Spring County Arkansas
AR,109,4060,4169,Howard County Arkansas
NM,646,7509,8155,Independence County New Mexico
OK,49,2284,2333,Izard County Oklahoma
AR,541,7354,7895,Jackson County Arkansas
NM,1078,10803,11881,Jefferson County New Mexico
OK,481,5578,6059,Johnson County Oklahoma
AR,60,2366,2426,Lafayette County Arkansas
NM,597,5815,6412,Lawrence County New Mexico
OK,0,590,590,Lee County Oklahoma
AR,654,13602,14256,Lincoln County Arkansas
AR,602,8300,8902,Little River County Arkansas
AR,285,10080,10365,Logan County Arkansas
AR,174,4700,4874,Lonoke County Arkansas
TX,214,11232,11446,Madison County Texas
AR,217,9985,10202,Marion County Arkansas
TX,257,16517,16774,Miller County Texas
AR,586,9405,9991,Mississippi County Arkansas
AR,108,3610,3718,Monroe County Arkansas
AR,478,6603,7081,Montgomery County Arkansas
OK,294,8260,8554,Nevada County Oklahoma
TX,309,5426,5735,Newton County Texas
AR,304,8045,8349,Ouachita County Arkansas
OK,120,9702,9822,Perry County Oklahoma
TX,135,6868,7003,Phillips County Texas
AR,292,5356,5648,Pike County Arkansas
OK,108,7013,7121,Poinsett County Oklahoma
TX,123,4179,4302,Polk County Texas
AR,3208,35031,38239,Pope County Arkansas
OK,1731,18763,20494,Prairie County Oklahoma
TX,2453,61601,64054,Pulaski County Texas
AR,1532,18993,20525,Randolph County Arkansas
OK,55,2725,2780,St. Francis County Oklahoma
TX,777,45563,46340,Saline County Texas
AR,2174,58642,60816,Scott County Arkansas
OK,697,42374,43071,Searcy County Oklahoma
TX,1419,85212,86631,Sebastian County Texas
AR,250,8211,8461,Sevier County Arkansas
TX,239,23210,23449,Sharp County Texas
AR,217,21698,21915,Stone County Arkansas
TX,206,36697,36903,Union County Texas
AR,247,3588,3835,Van Buren County Arkansas
AR,279,5766,6045,Washington County Arkansas
AR,648,5098,5746,White County Arkansas
TX,349,4376,4725,Woodruff County Texas
AR,344,4220,4564,Yell County Arkansas
TX,45,3498,3543,Alameda County Texas
AR,401,4709,5110,Alpine County Arkansas
NV,253,2639,2892,Amador County Nevada
NM,400,5279,5679,Butte County New Mexico
OK,280,7009,7289,Calaveras County Oklahoma
AR,221,2653,2874,Colusa County Arkansas
NV,73,583,656,Contra Costa County Nevada
NM,220,3223,3443,Del Norte County New Mexico
OK,100,4953,5053,El Dorado County Oklahoma
AR,368,5034,5402,Fresno County Arkansas
NV,220,2964,3184,Glenn County Nevada
NM,367,5604,5971,Humboldt County New Mexico
OK,247,7334,7581,Imperial County Oklahoma
AR,231,6711,6942,Inyo County Arkansas
NV,83,4641,4724,Kern County Nevada
NM,230,7281,7511,Kings County New Mexico
OK,110,9011,9121,Lake County Oklahoma
AR,276,4217,4493,Lassen County Arkansas
AR,493,8676,9169,Los Angeles County Arkansas
OK,331,10287,10618,Madera County Oklahoma
AR,295,10042,10337,Marin County Arkansas
OK,133,11653,11786,Mariposa County Oklahoma
AR,923,14837,15760,Mendocino County Arkansas
AR,88,4628,4716,Merced County Arkansas
TX,75,4550,4625,Modoc County Texas
AR,86,4440,4526,Mono County Arkansas
TX,73,4362,4435,Monterey County Texas
AR,206,5669,5875,Napa County Arkansas
TX,127,3552,3679,Nevada County Texas
AR,96,3626,3722,Orange County Arkansas
TX,17,1509,1526,Placer County Texas
AR,1243,14905,16148,Plumas County Arkansas
AR,1625,21232,22857,Riverside County Arkansas
AR,281,3927,4208,Sacramento County Arkansas
AR,75,2858,2933,San Benito County Arkansas
TX,377,40781,41158,San Bernardino County Texas
AR,435,36220,36655,San Diego County Arkansas
TX,737,74143,74880,San Francisco County/city Texas
AR,216,3492,3708,San Joaquin County Arkansas
AR,107,3074,3181,San Luis Obispo County Arkansas
TX,115,4507,4622,San Mateo County Texas
AR,77,4606,4683,Santa Barbara County Arkansas
TX,85,6039,6124,Santa Clara County Texas
AR,942,10395,11337,Santa Cruz County Arkansas
AR,187,3039,3226,Shasta County Arkansas
AR,2068,14628,16696,Sierra County Arkansas
AR,31,3419,3450,Siskiyou County Arkansas
AR,932,10970,11902,Solano County Arkansas
AR,222,7473,7695,Sonoma County Arkansas
TX,284,12044,12328,Stanislaus County Texas
AR,291,11756,12047,Sutter County Arkansas
TX,353,16327,16680,Tehama County Texas
AR,525,15461,15986,Trinity County Arkansas
AR,90,2616,2706,Tulare County Arkansas
AR,10022,104862,114884,Tuolumne County Arkansas
AR,372,6017,6389,Ventura County Arkansas
AR,1170,17004,18174,Yolo County Arkansas
AR,278,12326,12604,Yuba County Arkansas
AR,126,3896,4022,Adams County Arkansas
AR,404,20605,21009,Alamosa County Arkansas
AR,505,21441,21946,Arapahoe County Arkansas
AR,325,5691,6016,Archuleta County Arkansas
AR,1084,9571,10655,Baca County Arkansas
AR,92,4162,4254,Bent County Arkansas
AR,925,16149,17074,Boulder County Arkansas
NM,544,8377,8921,Broomfield County/city New Mexico
AR,423,8522,8945,Chaffee County Arkansas
NM,42,750,792,Cheyenne County New Mexico
AR,137,5619,5756,Clear Creek County Arkansas
AR,1532,47253,48785,Conejos County Arkansas
OK,912,29750,30662,Costilla County Oklahoma
TX,842,26298,27140,Crowley County Texas
AR,876,31567,32443,Custer County Arkansas
OK,256,14064,14320,Delta County Oklahoma
TX,186,10612,10798,Denver County/city Texas
AR,828,28594,29422,Dolores County Arkansas
OK,208,11091,11299,Douglas County Oklahoma
TX,138,7639,7777,Eagle County Texas
AR,714,19599,20313,Elbert County Arkansas
AR,287,3514,3801,El Paso County Arkansas
AR,67,6277,6344,Fremont County Arkansas
AR,8,10742,10750,Garfield County Arkansas
AR,2,1640,1642,Gilpin County Arkansas
CA,56583,138893,195476,Grand County California
CA,21,273,294,Gunnison County California
CA,1251,3579,4830,Hinsdale County California
CA,9383,39586,48969,Huerfano County California
CA,2087,5937,8024,Jackson County California
CA,540,2720,3260,Jefferson County California
CA,31951,77527,109478,Kiowa County California
CA,2768,7031,9799,Kit Carson County California
CA,3455,14358,17813,Lake County California
CA,97748,279376,377124,La Plata County California
CA,1540,4506,6046,Larimer County California
CA,5360,21272,26632,Las Animas County California
CA,13943,46325,60268,Lincoln County California
CA,834,2295,3129,Logan County California
CA,55367,185503,240870,Mesa County California
CA,9327,30200,39527,Mineral County California
CA,3661,12638,16299,Moffat County California
CA,1485,4291,5776,Montezuma County California
CA,422099,1355708,1777807,Montrose County California
CA,8628,35274,43902,Morgan County California
CA,2373,11790,14163,Otero County California
CA,744,1927,2671,Ouray County California
CA,4447,18456,22903,Park County California
CA,28664,62760,91424,Phillips County California
CA,381,1725,2106,Pitkin County California
CA,173,916,1089,Prowers County California
CA,19364,45548,64912,Pueblo County California
CA,2134,9081,11215,Rio Blanco County California
CA,2232,7612,9844,Rio Grande County California
CA,71435,235621,307056,Routt County California
CA,6107,21096,27203,Saguache County California
CA,512,1794,2306,San Juan County California
CA,103149,297932,401081,San Miguel County California
CA,104843,244017,348860,Sedgwick County California
CA,2951,7945,10896,Summit County California
CA,152271,414881,567152,Teller County California
CA,104904,239954,344858,Washington County California
CA,14875,66463,81338,Weld County California
CA,43907,124425,168332,Yuma County California
CA,6868,21491,28359,Fairfield County California
CA,10120,25554,35674,Hartford County California
CA,16587,38753,55340,Litchfield County California
CA,49711,125741,175452,Middlesex County California
CA,7597,29202,36799,New Haven County California
CA,8704,32549,41253,New London County California
CA,102,402,504,Tolland County California
CA,2539,7908,10447,Windham County California
CA,21130,46685,67815,Kent County California
CA,12591,37526,50117,New Castle County California
CA,40722,101536,142258,Sussex County California
CA,4584,15529,20113,District of Colu California
CA,4020,12838,16858,Alachua County California
CA,437,2187,2624,Baker County California
CA,54699,138245,192944,Bay County California
CA,2695,7155,9850,Bradford County California
CA,22393,86636,109029,Brevard County California
CA,7283,20869,28152,Broward County California
CA,5804,18231,24035,Calhoun County California
CO,1481,5202,6683,Charlotte County Colorado
CO,163,1662,1825,Citrus County Colorado
CO,104,623,727,Clay County Colorado
CO,370,1424,1794,Collier County Colorado
CO,4456,22907,27363,Columbia County Colorado
CO,259,1799,2058,DeSoto County Colorado
CO,29,195,224,Dixie County Colorado
CO,137,960,1097,Duval County Colorado
CO,523,2676,3199,Escambia County Colorado
CO,371,1272,1643,Flagler County Colorado
CO,238,1219,1457,Franklin County Colorado
CO,85,691,776,Gadsden County Colorado
CO,742,5387,6129,Gilchrist County Colorado
MI,1498,7959,9457,Glades County Michigan
CO,1437,7809,9246,Gulf County Colorado
MI,2193,10381,12574,Hamilton County Michigan
CO,22144,124719,146863,Hardee County Colorado
CO,22,269,291,Hendry County Colorado
CO,693,9097,9790,Hernando County Colorado
IL,381,5975,6356,Highlands County Illinois
KS,2551,9788,12339,Hillsborough County Kansas
CO,406,6389,6795,Holmes County Colorado
IL,94,3267,3361,Indian River County Illinois
KS,2264,7080,9344,Jackson County Kansas
CO,2355,10036,12391,Jefferson County Colorado
IL,2043,6914,8957,Lafayette County Illinois
KS,4213,10727,14940,Lake County Kansas
CO,149,2057,2206,Lee County Colorado
CO,123,1788,1911,Leon County Colorado
CO,12340,102026,114366,Levy County Colorado
CO,1880,6717,8597,Liberty County Colorado
CO,946,6389,7335,Madison County Colorado
CO,131,618,749,Manatee County Colorado
CO,63,955,1018,Marion County Colorado
CO,135,1222,1357,Martin County Colorado
CO,1,47,48,Miami-Dade County Colorado
CO,286,2390,2676,Monroe County Colorado
CO,32,242,274,Nassau County Colorado
GA,1955,7797,9752,Okaloosa County Georgia
IL,643,9417,10060,Okeechobee County Illinois
KS,322,786,1108,Orange County Kansas
KY,46,4627,4673,Osceola County Kentucky
NC,910,3900,4810,Palm Beach County North Carolina
TN,356,2599,2955,Pasco County Tennessee
CO,1944,7300,9244,Pinellas County Colorado
GA,3867,14855,18722,Polk County Georgia
IL,2555,16475,19030,Putnam County Illinois
KS,2234,7844,10078,St. Johns County Kansas
KY,1958,11685,13643,St. Lucie County Kentucky
NC,2822,10958,13780,Santa Rosa County North Carolina
TN,2268,9657,11925,Sarasota County Tennessee
CO,598,9199,9797,Seminole County Colorado
GA,2521,16754,19275,Sumter County Georgia
IL,1209,18374,19583,Suwannee County Illinois
KS,888,9743,10631,Taylor County Kansas
KY,612,13584,14196,Union County Kentucky
NC,1476,12857,14333,Volusia County North Carolina
TN,922,11556,12478,Wakulla County Tennessee
CO,241,819,1060,Walton County Colorado
GA,2164,8374,10538,Washington County Georgia
IL,852,9994,10846,Appling County Illinois
KS,531,1363,1894,Atkinson County Kansas
KY,255,5204,5459,Bacon County Kentucky
NC,1119,4477,5596,Baker County North Carolina
TN,565,3176,3741,Baldwin County Tennessee
CO,16,4695,4711,Banks County Colorado
GA,1939,12250,14189,Barrow County Georgia
IL,627,13870,14497,Bartow County Illinois
KS,306,5239,5545,Ben Hill County Kansas
KY,30,9080,9110,Berrien County Kentucky
NC,894,8353,9247,Bibb County North Carolina
TN,340,7052,7392,Bleckley County Tennessee
CO,395,4026,4421,Brantley County Colorado
GA,2318,11581,13899,Brooks County Georgia
IL,1006,13201,14207,Bryan County Illinois
KS,685,4570,5255,Bulloch County Kansas
KY,409,8411,8820,Burke County Kentucky
NC,1273,7684,8957,Butts County North Carolina
TN,719,6383,7102,Calhoun County Tennessee
CO,336,2618,2954,Camden County Colorado
GA,2259,10173,12432,Candler County Georgia
IL,947,11793,12740,Carroll County Illinois
KS,626,3162,3788,Catoosa County Kansas
KY,350,7003,7353,Charlton County Kentucky
NC,1214,6276,7490,Chatham County North Carolina
TN,660,4975,5635,Chattahoochee County Tennessee
CO,5472,47045,52517,Chattooga County Colorado
WI,3084,29187,32271,Cherokee County Wisconsin
CO,3081,31700,34781,Clarke County Colorado
WI,693,13842,14535,Clay County Wisconsin
CO,29,145,174,Clayton County Colorado
CO,126,908,1034,Clinch County Colorado
CO,124,1020,1144,Cobb County Colorado
MI,777,2899,3676,Coffee County Michigan
CO,792,2999,3791,Colquitt County Colorado
MI,1445,4878,6323,Columbia County Michigan
CO,471,5852,6323,Cook County Colorado
CO,6193,33565,39758,Coweta County Colorado
CO,616,4072,4688,Crawford County Colorado
CO,77,738,815,Crisp County Colorado
WI,242,3608,3850,Dade County Wisconsin
CO,266,3675,3941,Dawson County Colorado
WI,431,6545,6976,Decatur County Wisconsin
CO,660,3240,3900,DeKalb County Colorado
CO,2694,24301,26995,Dodge County Colorado
CO,9,45,54,Dooly County Colorado
CO,215,2639,2854,Dougherty County Colorado
CO,650,5174,5824,Douglas County Colorado
CO,1132,9293,10425,Early County Colorado
CO,895,4459,5354,Echols County Colorado
CO,785,5983,6768,Effingham County Colorado
CO,32,374,406,Elbert County Colorado
CO,141,1733,1874,Emanuel County Colorado
CO,51,557,608,Evans County Colorado
CO,29,277,306,Fannin County Colorado
CO,825,3582,4407,Fayette County Colorado
CO,8220,50185,58405,Floyd County Colorado
CO,57,784,841,Forsyth County Colorado
CO,688,3877,4565,Franklin County Colorado
CO,84,1199,1283,Fulton County Colorado
CO,318,1855,2173,Gilmer County Colorado
CO,5,131,136,Glascock County Colorado
CO,41,421,462,Glynn County Colorado
CO,47,315,362,Gordon County Colorado
CO,78,1578,1656,Grady County Colorado
CO,580,3080,3660,Greene County Colorado
CO,74,555,629,Gwinnett County Colorado
NC,877,2562,3439,Habersham County North Carolina
WI,385,7891,8276,Hall County Wisconsin
CO,577,2786,3363,Hancock County Colorado
NC,1380,4793,6173,Haralson County North Carolina
WI,888,10122,11010,Harris County Wisconsin
CO,370,8296,8666,Hart County Colorado
NC,1173,10303,11476,Heard County North Carolina
WI,681,15632,16313,Henry County Wisconsin
CO,4130,36012,40142,Houston County Colorado
CO,218,1427,1645,Irwin County Colorado
CO,6694,78696,85390,Jackson County Colorado
WI,3369,40710,44079,Jasper County Wisconsin
CO,3827,44153,47980,Jeff Davis County Colorado
WI,502,6167,6669,Jefferson County Wisconsin
CO,8688,72981,81669,Jenkins County Colorado
CO,380,3235,3615,Johnson County Colorado
CT,134002,543397,677399,Jones County Connecticut
DE,53959,51,54010,Lamar County Delaware
DE,116620,62,116682,Lanier County Delaware
DE,57360,46,57406,Laurens County Delaware
DC,61500,177599,239099,Lee County District of Columbia
FL,5440,55192,60632,Liberty County Florida
FL,789,8678,9467,Lincoln County Florida
FL,4493,50800,55293,Long County Florida
FL,867,8965,9832,Lowndes County Florida
FL,10149,108738,118887,Lumpkin County Florida
FL,41212,342771,383983,McDuffie County Florida
FL,487,4252,4739,McIntosh County Florida
FL,2028,31705,33733,Macon County Florida
FL,3003,35360,38363,Madison County Florida
FL,2250,35235,37485,Marion County Florida
FL,2972,60307,63279,Meriwether County Florida
FL,2723,23074,25797,Miller County Florida
FL,202408,789018,991426,Mitchell County Florida
FL,748,11698,12446,Monroe County Florida
FL,861,5909,6770,Montgomery County Florida
FL,24894,259746,284640,Morgan County Florida
FL,11598,92720,104318,Murray County Florida
FL,1710,20712,22422,Muscogee County Florida
FL,304,2947,3251,Newton County Florida
FL,2745,19715,22460,Oconee County Florida
FL,603,5029,5632,Oglethorpe County Florida
FL,460,3814,4274,Paulding County Florida
FL,627,5607,6234,Peach County Florida
FL,699,10941,11640,Pickens County Florida
FL,1444,18838,20282,Pierce County Florida
FL,4066,47932,51998,Pike County Florida
FL,2246,26994,29240,Polk County Florida
FL,49153,358176,407329,Pulaski County Florida
FL,807,8525,9332,Putnam County Florida
FL,2769,27713,30482,Quitman County Florida
FL,1589,13610,15199,Rabun County Florida
FL,578,4044,4622,Randolph County Florida
FL,121,1716,1837,Richmond County Florida
FL,5855,69025,74880,Rockdale County Florida
FL,9368,146603,155971,Schley County Florida
FL,5941,54626,60567,Screven County Florida
FL,1352,13299,14651,Seminole County Florida
FL,232,2025,2257,Spalding County Florida
FL,1013,7240,8253,Stephens County Florida
FL,5532,74123,79655,Stewart County Florida
FL,7985,103771,111756,Sumter County Florida
FL,1487,21245,22732,Talbot County Florida
FL,1491,12186,13677,Taliaferro County Florida
FL,989,14790,15779,Tattnall County Florida
FL,2809,31111,33920,Taylor County Florida
FL,977,13783,14760,Telfair County Florida
FL,31336,285011,316347,Terrell County Florida
FL,8735,94888,103623,Thomas County Florida
FL,20906,220837,241743,Tift County Florida
FL,10510,115144,125654,Toombs County Florida
FL,23574,204419,227993,Towns County Florida
FL,17951,182862,200813,Treutlen County Florida
FL,3413,34963,38376,Troup County Florida
FL,2013,23402,25415,Turner County Florida
FL,7463,73888,81351,Twiggs County Florida
FL,2110,26941,29051,Union County Florida
FL,5003,67751,72754,Upson County Florida
FL,5827,64297,70124,Walker County Florida
FL,1583,15147,16730,Walton County Florida
FL,1356,14747,16103,Ware County Florida
FL,835,7896,8731,Warren County Florida
FL,467,4598,5065,Washington County Florida
FL,12631,131789,144420,Wayne County Florida
FL,583,6454,7037,Webster County Florida
FL,796,9709,10505,Wheeler County Florida
FL,681,8037,8718,White County Florida
GA,1561,6302,7863,Whitfield County Georgia
GA,763,3859,4622,Wilcox County Georgia
GA,948,3113,4061,Wilkes County Georgia
GA,579,1540,2119,Wilkinson County Georgia
GA,3477,14100,17577,Worth County Georgia
GA,1149,4947,6096,Hawaii County Georgia
GA,3213,17546,20759,Honolulu County/city Georgia
GA,5639,31094,36733,Kauai County Georgia
GA,2214,8658,10872,Maui County Georgia
GA,1652,7382,9034,Ada County Georgia
GA,18296,63907,82203,Adams County Georgia
GA,858,3589,4447,Bannock County Georgia
GA,1223,5749,6972,Bear Lake County Georgia
GA,1623,6293,7916,Benewah County Georgia
GA,1055,5278,6333,Bingham County Georgia
GA,4210,15914,20124,Blaine County Georgia
GA,3291,10636,13927,Boise County Georgia
NC,4352,16441,20793,Bonner County North Carolina
GA,2986,17360,20346,Bonneville County Georgia
NC,4047,23165,27212,Boundary County North Carolina
GA,1334,8022,9356,Butte County Georgia
GA,688,2325,3013,Camas County Georgia
GA,2255,11623,13878,Canyon County Georgia
NJ,31303,33910,65213,Caribou County New Jersey
NC,1287,6327,7614,Cassia County North Carolina
GA,29933,30665,60598,Clark County Georgia
NJ,58981,52952,111933,Clearwater County New Jersey
NC,28965,25369,54334,Custer County North Carolina
GA,1245,6808,8053,Elmore County Georgia
NJ,30293,29095,59388,Franklin County New Jersey
NC,277,1512,1789,Fremont County North Carolina
GA,1110,4120,5230,Gem County Georgia
GA,11190,31264,42454,Gooding County Georgia
IL,5534,16975,22509,Idaho County Illinois
KY,5496,17491,22987,Jefferson County Kentucky
TN,6346,21096,27442,Jerome County Tennessee
GA,5794,17862,23656,Kootenai County Georgia
IL,138,3573,3711,Latah County Illinois
KY,100,4089,4189,Lemhi County Kentucky
TN,950,7694,8644,Lewis County Tennessee
GA,5744,18460,24204,Lincoln County Georgia
IL,88,4171,4259,Madison County Illinois
KY,50,4687,4737,Minidoka County Kentucky
TN,900,8292,9192,Nez Perce County Tennessee
GA,6604,21825,28429,Oneida County Georgia
IL,948,7536,8484,Owyhee County Illinois
KY,910,8052,8962,Payette County Kentucky
TN,1760,11657,13417,Power County Tennessee
GA,3044,16791,19835,Shoshone County Georgia
GA,905,4960,5865,Teton County Georgia
GA,12728,67402,80130,Twin Falls County Georgia
NC,7091,36624,43715,Valley County North Carolina
GA,6992,39316,46308,Washington County Georgia
NC,1355,8538,9893,Adams County North Carolina
GA,357,1578,1935,Alexander County Georgia
GA,2386,8540,10926,Bond County Georgia
GA,2989,24088,27077,Boone County Georgia
KS,2553,13730,16283,Brown County Kansas
NC,2032,14863,16895,Bureau County North Carolina
GA,2665,15139,17804,Calhoun County Georgia
KS,2229,4781,7010,Carroll County Kansas
NC,1708,5914,7622,Cass County North Carolina
GA,1931,16564,18495,Champaign County Georgia
KS,1495,6206,7701,Christian County Kansas
NC,974,7339,8313,Clark County North Carolina
GA,7271,28894,36165,Clay County Georgia
GA,704,1634,2338,Clinton County Georgia
GA,20763,108543,129306,Coles County Georgia
GA,957,2667,3624,Cook County Georgia
GA,19232,104847,124079,Crawford County Georgia
GA,3880,17596,21476,Cumberland County Georgia
TN,3183,18032,21215,DeKalb County Tennessee
GA,3412,18171,21583,De Witt County Georgia
TN,2715,18607,21322,Douglas County Tennessee
GA,4903,17962,22865,DuPage County Georgia
GA,2112,14374,16486,Edgar County Georgia
GA,1459,7114,8573,Edwards County Georgia
GA,4567,28764,33331,Effingham County Georgia
GA,1031,3998,5029,Fayette County Georgia
IL,524,4361,4885,Ford County Illinois
KS,1951,6443,8394,Franklin County Kansas
GA,569,4325,4894,Fulton County Georgia
IL,62,4688,4750,Gallatin County Illinois
KS,1489,6770,8259,Greene County Kansas
GA,2117,6202,8319,Grundy County Georgia
IL,1610,6565,8175,Hamilton County Illinois
KS,3037,8647,11684,Hancock County Kansas
GA,3017,10599,13616,Hardin County Georgia
GA,769,3524,4293,Henderson County Georgia
GA,671,4843,5514,Henry County Georgia
GA,3551,12218,15769,Iroquois County Georgia
GA,40630,195311,235941,Jackson County Georgia
GA,2082,7198,9280,Jasper County Georgia
GA,1184,4472,5656,Jefferson County Georgia
GA,13957,47059,61016,Jersey County Georgia
GA,6071,36007,42078,Jo Daviess County Georgia
GA,2129,5337,7466,Johnson County Georgia
GA,89,771,860,Kane County Georgia
GA,1770,10054,11824,Kankakee County Georgia
GA,1884,6492,8376,Kendall County Georgia
GA,2716,8725,11441,Knox County Georgia
GA,1048,4142,5190,Lake County Georgia
GA,1150,6286,7436,LaSalle County Georgia
GA,1682,10968,12650,Lawrence County Georgia
IL,764,8454,9218,Lee County Illinois
