States,Jan & July Public Assist. Participation,Jan & July Non-Public Assist. Participation,Jan & July TOTAL Assist. Participation,Counties
TX,2453,61601,64054,Pulaski County
AR,1532,18993,20525,Randolph County
OK,55,2725,2780,St. Francis County
TX,777,45563,46340,Saline County
AR,2174,58642,60816,Scott County
OK,697,42374,43071,Searcy County
TX,1419,85212,86631,Sebastian County
AR,250,8211,8461,Sevier County
TX,239,23210,23449,Sharp County
AR,217,21698,21915,Stone County
TX,206,36697,36903,Union County
AR,247,3588,3835,Van Buren County
AR,279,5766,6045,Washington County
AR,648,5098,5746,White County
TX,349,4376,4725,Woodruff County
AR,344,4220,4564,Yell County
TX,45,3498,3543,Alameda County
AR,401,4709,5110,Alpine County
NV,253,2639,2892,Amador County
NM,400,5279,5679,Butte County
OK,280,7009,7289,Calaveras County
AR,221,2653,2874,Colusa County
NV,73,583,656,Contra Costa County
NM,220,3223,3443,Del Norte County
OK,100,4953,5053,El Dorado County
AR,368,5034,5402,Fresno County
NV,220,2964,3184,Glenn County
NM,367,5604,5971,Humboldt County
OK,247,7334,7581,Imperial County
AR,231,6711,6942,Inyo County
NV,83,4641,4724,Kern County
NM,230,7281,7511,Kings County
OK,110,9011,9121,Lake County
AR,276,4217,4493,Lassen County
AR,493,8676,9169,Los Angeles County
OK,331,10287,10618,Madera County
AR,295,10042,10337,Marin County
OK,133,11653,11786,Mariposa County
AR,923,14837,15760,Mendocino County
AR,88,4628,4716,Merced County
TX,75,4550,4625,Modoc County
AR,86,4440,4526,Mono County
TX,73,4362,4435,Monterey County
AR,206,5669,5875,Napa County
TX,127,3552,3679,Nevada County
AR,96,3626,3722,Orange County
TX,17,1509,1526,Placer County
AR,1243,14905,16148,Plumas County
AR,1625,21232,22857,Riverside County
AR,281,3927,4208,Sacramento County
AR,75,2858,2933,San Benito County
TX,377,40781,41158,San Bernardino County
AR,435,36220,36655,San Diego County
TX,737,74143,74880,San Francisco County/city
AR,216,3492,3708,San Joaquin County
AR,107,3074,3181,San Luis Obispo County
TX,115,4507,4622,San Mateo County
AR,77,4606,4683,Santa Barbara County
TX,85,6039,6124,Santa Clara County
AR,942,10395,11337,Santa Cruz County
AR,187,3039,3226,Shasta County
AR,2068,14628,16696,Sierra County
AR,31,3419,3450,Siskiyou County
AR,932,10970,11902,Solano County
AR,222,7473,7695,Sonoma County
TX,284,12044,12328,Stanislaus County
AR,291,11756,12047,Sutter County
TX,353,16327,16680,Tehama County
AR,525,15461,15986,Trinity County
AR,90,2616,2706,Tulare County
AR,10022,104862,114884,Tuolumne County
AR,372,6017,6389,Ventura County
AR,1170,17004,18174,Yolo County
AR,278,12326,12604,Yuba County
AR,126,3896,4022,Adams County
AR,404,20605,21009,Alamosa County
AR,505,21441,21946,Arapahoe County
AR,325,5691,6016,Archuleta County
AR,1084,9571,10655,Baca County
AR,92,4162,4254,Bent County
AR,925,16149,17074,Boulder County
NM,544,8377,8921,Broomfield County/city
AR,423,8522,8945,Chaffee County
NM,42,750,792,Cheyenne County
AR,137,5619,5756,Clear Creek County
AR,1532,47253,48785,Conejos County
OK,912,29750,30662,Costilla County
TX,842,26298,27140,Crowley County
AR,876,31567,32443,Custer County
OK,256,14064,14320,Delta County
TX,186,10612,10798,Denver County/city
AR,828,28594,29422,Dolores County
OK,208,11091,11299,Douglas County
TX,138,7639,7777,Eagle County
AR,714,19599,20313,Elbert County
AR,287,3514,3801,El Paso County
AR,67,6277,6344,Fremont County
AR,8,10742,10750,Garfield County
AR,2,1640,1642,Gilpin County
CA,56583,138893,195476,Grand County
CA,21,273,294,Gunnison County
CA,1251,3579,4830,Hinsdale County
CA,9383,39586,48969,Huerfano County
CA,2087,5937,8024,Jackson County
CA,540,2720,3260,Jefferson County
CA,31951,77527,109478,Kiowa County
CA,2768,7031,9799,Kit Carson County
CA,3455,14358,17813,Lake County
CA,97748,279376,377124,La Plata County
CA,1540,4506,6046,Larimer County
CA,5360,21272,26632,Las Animas County
CA,13943,46325,60268,Lincoln County
CA,834,2295,3129,Logan County
CA,55367,185503,240870,Mesa County
CA,9327,30200,39527,Mineral County
CA,3661,12638,16299,Moffat County
CA,1485,4291,5776,Montezuma County
CA,422099,1355708,1777807,Montrose County
CA,8628,35274,43902,Morgan County
CA,2373,11790,14163,Otero County
CA,744,1927,2671,Ouray County
CA,4447,18456,22903,Park County
CA,28664,62760,91424,Phillips County
CA,381,1725,2106,Pitkin County
CA,173,916,1089,Prowers County
CA,19364,45548,64912,Pueblo County
CA,2134,9081,11215,Rio Blanco County
CA,2232,7612,9844,Rio Grande County
CA,71435,235621,307056,Routt County
CA,6107,21096,27203,Saguache County
CA,512,1794,2306,San Juan County
CA,103149,297932,401081,San Miguel County
CA,104843,244017,348860,Sedgwick County
CA,2951,7945,10896,Summit County
CA,152271,414881,567152,Teller County
CA,104904,239954,344858,Washington County
CA,14875,66463,81338,Weld County
CA,43907,124425,168332,Yuma County
CA,6868,21491,28359,Fairfield County
CA,10120,25554,35674,Hartford County
CA,16587,38753,55340,Litchfield County
CA,49711,125741,175452,Middlesex County
CA,7597,29202,36799,New Haven County
CA,8704,32549,41253,New London County
CA,102,402,504,Tolland County
CA,2539,7908,10447,Windham County
CA,21130,46685,67815,Kent County
CA,12591,37526,50117,New Castle County
CA,40722,101536,142258,Sussex County
CA,4584,15529,20113,District of Colu
CA,4020,12838,16858,Alachua County
CA,437,2187,2624,Baker County
CA,54699,138245,192944,Bay County
CA,2695,7155,9850,Bradford County
CA,22393,86636,109029,Brevard County
CA,7283,20869,28152,Broward County
CA,5804,18231,24035,Calhoun County
CO,1481,5202,6683,Charlotte County
CO,163,1662,1825,Citrus County
CO,104,623,727,Clay County
CO,370,1424,1794,Collier County
CO,4456,22907,27363,Columbia County
CO,259,1799,2058,DeSoto County
CO,29,195,224,Dixie County
CO,137,960,1097,Duval County
CO,523,2676,3199,Escambia County
CO,371,1272,1643,Flagler County
CO,238,1219,1457,Franklin County
CO,85,691,776,Gadsden County
CO,742,5387,6129,Gilchrist County
MI,1498,7959,9457,Glades County
CO,1437,7809,9246,Gulf County
MI,2193,10381,12574,Hamilton County
CO,22144,124719,146863,Hardee County
CO,22,269,291,Hendry County
CO,693,9097,9790,Hernando County
IL,381,5975,6356,Highlands County
KS,2551,9788,12339,Hillsborough County
CO,406,6389,6795,Holmes County
IL,94,3267,3361,Indian River County
KS,2264,7080,9344,Jackson County
CO,2355,10036,12391,Jefferson County
IL,2043,6914,8957,Lafayette County
KS,4213,10727,14940,Lake County
CO,149,2057,2206,Lee County
CO,123,1788,1911,Leon County
CO,12340,102026,114366,Levy County
CO,1880,6717,8597,Liberty County
CO,946,6389,7335,Madison County
CO,131,618,749,Manatee County
CO,63,955,1018,Marion County
CO,135,1222,1357,Martin County
CO,1,47,48,Miami-Dade County
CO,286,2390,2676,Monroe County
CO,32,242,274,Nassau County
GA,1955,7797,9752,Okaloosa County
IL,643,9417,10060,Okeechobee County
KS,322,786,1108,Orange County
KY,46,4627,4673,Osceola County
NC,910,3900,4810,Palm Beach County
TN,356,2599,2955,Pasco County
CO,1944,7300,9244,Pinellas County
GA,3867,14855,18722,Polk County
IL,2555,16475,19030,Putnam County
KS,2234,7844,10078,St. Johns County
KY,1958,11685,13643,St. Lucie County
NC,2822,10958,13780,Santa Rosa County
TN,2268,9657,11925,Sarasota County
CO,598,9199,9797,Seminole County
GA,2521,16754,19275,Sumter County
IL,1209,18374,19583,Suwannee County
KS,888,9743,10631,Taylor County
KY,612,13584,14196,Union County
NC,1476,12857,14333,Volusia County
TN,922,11556,12478,Wakulla County
CO,241,819,1060,Walton County
GA,2164,8374,10538,Washington County
IL,852,9994,10846,Appling County
KS,531,1363,1894,Atkinson County
KY,255,5204,5459,Bacon County
NC,1119,4477,5596,Baker County
TN,565,3176,3741,Baldwin County
CO,16,4695,4711,Banks County
GA,1939,12250,14189,Barrow County
IL,627,13870,14497,Bartow County
KS,306,5239,5545,Ben Hill County
KY,30,9080,9110,Berrien County
NC,894,8353,9247,Bibb County
TN,340,7052,7392,Bleckley County
CO,395,4026,4421,Brantley County
GA,2318,11581,13899,Brooks County
IL,1006,13201,14207,Bryan County
KS,685,4570,5255,Bulloch County
KY,409,8411,8820,Burke County
NC,1273,7684,8957,Butts County
TN,719,6383,7102,Calhoun County
CO,336,2618,2954,Camden County
GA,2259,10173,12432,Candler County
IL,947,11793,12740,Carroll County
KS,626,3162,3788,Catoosa County
KY,350,7003,7353,Charlton County
NC,1214,6276,7490,Chatham County
TN,660,4975,5635,Chattahoochee County
CO,5472,47045,52517,Chattooga County
WI,3084,29187,32271,Cherokee County
CO,3081,31700,34781,Clarke County
WI,693,13842,14535,Clay County
CO,29,145,174,Clayton County
CO,126,908,1034,Clinch County
CO,124,1020,1144,Cobb County
MI,777,2899,3676,Coffee County
CO,792,2999,3791,Colquitt County
MI,1445,4878,6323,Columbia County
CO,471,5852,6323,Cook County
CO,6193,33565,39758,Coweta County
CO,616,4072,4688,Crawford County
CO,77,738,815,Crisp County
WI,242,3608,3850,Dade County
CO,266,3675,3941,Dawson County
WI,431,6545,6976,Decatur County
CO,660,3240,3900,DeKalb County
CO,2694,24301,26995,Dodge County
CO,9,45,54,Dooly County
CO,215,2639,2854,Dougherty County
CO,650,5174,5824,Douglas County
CO,1132,9293,10425,Early County
CO,895,4459,5354,Echols County
CO,785,5983,6768,Effingham County
CO,32,374,406,Elbert County
CO,141,1733,1874,Emanuel County
CO,51,557,608,Evans County
CO,29,277,306,Fannin County
CO,825,3582,4407,Fayette County
CO,8220,50185,58405,Floyd County
CO,57,784,841,Forsyth County
CO,688,3877,4565,Franklin County
CO,84,1199,1283,Fulton County
CO,318,1855,2173,Gilmer County
CO,5,131,136,Glascock County
CO,41,421,462,Glynn County
CO,47,315,362,Gordon County
CO,78,1578,1656,Grady County
CO,580,3080,3660,Greene County
CO,74,555,629,Gwinnett County
NC,877,2562,3439,Habersham County
WI,385,7891,8276,Hall County
CO,577,2786,3363,Hancock County
NC,1380,4793,6173,Haralson County
WI,888,10122,11010,Harris County
CO,370,8296,8666,Hart County
NC,1173,10303,11476,Heard County
WI,681,15632,16313,Henry County
CO,4130,36012,40142,Houston County
CO,218,1427,1645,Irwin County
CO,6694,78696,85390,Jackson County
WI,3369,40710,44079,Jasper County
CO,3827,44153,47980,Jeff Davis County
WI,502,6167,6669,Jefferson County
CO,8688,72981,81669,Jenkins County
CO,380,3235,3615,Johnson County
CT,134002,543397,677399,Jones County
DE,53959,51,54010,Lamar County
DE,116620,62,116682,Lanier County
DE,57360,46,57406,Laurens County
DC,61500,177599,239099,Lee County
FL,5440,55192,60632,Liberty County
FL,789,8678,9467,Lincoln County
FL,4493,50800,55293,Long County
FL,867,8965,9832,Lowndes County
FL,10149,108738,118887,Lumpkin County
FL,41212,342771,383983,McDuffie County
FL,487,4252,4739,McIntosh County
FL,2028,31705,33733,Macon County
FL,3003,35360,38363,Madison County
FL,2250,35235,37485,Marion County
FL,2972,60307,63279,Meriwether County
FL,2723,23074,25797,Miller County
FL,202408,789018,991426,Mitchell County
FL,748,11698,12446,Monroe County
FL,861,5909,6770,Montgomery County
FL,24894,259746,284640,Morgan County
FL,11598,92720,104318,Murray County
FL,1710,20712,22422,Muscogee County
FL,304,2947,3251,Newton County
FL,2745,19715,22460,Oconee County
FL,603,5029,5632,Oglethorpe County
FL,460,3814,4274,Paulding County
FL,627,5607,6234,Peach County
FL,699,10941,11640,Pickens County
FL,1444,18838,20282,Pierce County
FL,4066,47932,51998,Pike County
FL,2246,26994,29240,Polk County
FL,49153,358176,407329,Pulaski County
FL,807,8525,9332,Putnam County
FL,2769,27713,30482,Quitman County
FL,1589,13610,15199,Rabun County
FL,578,4044,4622,Randolph County
FL,121,1716,1837,Richmond County
FL,5855,69025,74880,Rockdale County
FL,9368,146603,155971,Schley County
FL,5941,54626,60567,Screven County
FL,1352,13299,14651,Seminole County
FL,232,2025,2257,Spalding County
FL,1013,7240,8253,Stephens County
FL,5532,74123,79655,Stewart County
FL,7985,103771,111756,Sumter County
FL,1487,21245,22732,Talbot County
FL,1491,12186,13677,Taliaferro County
FL,989,14790,15779,Tattnall County
FL,2809,31111,33920,Taylor County
FL,977,13783,14760,Telfair County
FL,31336,285011,316347,Terrell County
FL,8735,94888,103623,Thomas County
FL,20906,220837,241743,Tift County
FL,10510,115144,125654,Toombs County
FL,23574,204419,227993,Towns County
FL,17951,182862,200813,Treutlen County
FL,3413,34963,38376,Troup County
FL,2013,23402,25415,Turner County
FL,7463,73888,81351,Twiggs County
FL,2110,26941,29051,Union County
FL,5003,67751,72754,Upson County
FL,5827,64297,70124,Walker County
FL,1583,15147,16730,Walton County
FL,1356,14747,16103,Ware County
FL,835,7896,8731,Warren County
FL,467,4598,5065,Washington County
FL,12631,131789,144420,Wayne County
FL,583,6454,7037,Webster County
FL,796,9709,10505,Wheeler County
FL,681,8037,8718,White County
GA,1561,6302,7863,Whitfield County
GA,763,3859,4622,Wilcox County
GA,948,3113,4061,Wilkes County
GA,579,1540,2119,Wilkinson County
GA,3477,14100,17577,Worth County
GA,1149,4947,6096,Hawaii County
GA,3213,17546,20759,Honolulu County/city
GA,5639,31094,36733,Kauai County
GA,2214,8658,10872,Maui County
GA,1652,7382,9034,Ada County
GA,18296,63907,82203,Adams County
GA,858,3589,4447,Bannock County
GA,1223,5749,6972,Bear Lake County
GA,1623,6293,7916,Benewah County
GA,1055,5278,6333,Bingham County
GA,4210,15914,20124,Blaine County
GA,3291,10636,13927,Boise County
NC,4352,16441,20793,Bonner County
GA,2986,17360,20346,Bonneville County
NC,4047,23165,27212,Boundary County
GA,1334,8022,9356,Butte County
GA,688,2325,3013,Camas County
GA,2255,11623,13878,Canyon County
NJ,31303,33910,65213,Caribou County
NC,1287,6327,7614,Cassia County
GA,29933,30665,60598,Clark County
NJ,58981,52952,111933,Clearwater County
NC,28965,25369,54334,Custer County
GA,1245,6808,8053,Elmore County
NJ,30293,29095,59388,Franklin County
NC,277,1512,1789,Fremont County
GA,1110,4120,5230,Gem County
GA,11190,31264,42454,Gooding County
IL,5534,16975,22509,Idaho County
KY,5496,17491,22987,Jefferson County
TN,6346,21096,27442,Jerome County
GA,5794,17862,23656,Kootenai County
IL,138,3573,3711,Latah County
KY,100,4089,4189,Lemhi County
TN,950,7694,8644,Lewis County
GA,5744,18460,24204,Lincoln County
IL,88,4171,4259,Madison County
KY,50,4687,4737,Minidoka County
TN,900,8292,9192,Nez Perce County
GA,6604,21825,28429,Oneida County
IL,948,7536,8484,Owyhee County
KY,910,8052,8962,Payette County
TN,1760,11657,13417,Power County
GA,3044,16791,19835,Shoshone County
GA,905,4960,5865,Teton County
GA,12728,67402,80130,Twin Falls County
NC,7091,36624,43715,Valley County
GA,6992,39316,46308,Washington County
NC,1355,8538,9893,Adams County
GA,357,1578,1935,Alexander County
GA,2386,8540,10926,Bond County
GA,2989,24088,27077,Boone County
KS,2553,13730,16283,Brown County
NC,2032,14863,16895,Bureau County
GA,2665,15139,17804,Calhoun County
KS,2229,4781,7010,Carroll County
NC,1708,5914,7622,Cass County
GA,1931,16564,18495,Champaign County
KS,1495,6206,7701,Christian County
NC,974,7339,8313,Clark County
GA,7271,28894,36165,Clay County
GA,704,1634,2338,Clinton County
GA,20763,108543,129306,Coles County
GA,957,2667,3624,Cook County
GA,19232,104847,124079,Crawford County
GA,3880,17596,21476,Cumberland County
TN,3183,18032,21215,DeKalb County
GA,3412,18171,21583,De Witt County
TN,2715,18607,21322,Douglas County
GA,4903,17962,22865,DuPage County
GA,2112,14374,16486,Edgar County
GA,1459,7114,8573,Edwards County
GA,4567,28764,33331,Effingham County
GA,1031,3998,5029,Fayette County
IL,524,4361,4885,Ford County
KS,1951,6443,8394,Franklin County
GA,569,4325,4894,Fulton County
IL,62,4688,4750,Gallatin County
KS,1489,6770,8259,Greene County
GA,2117,6202,8319,Grundy County
IL,1610,6565,8175,Hamilton County
KS,3037,8647,11684,Hancock County
GA,3017,10599,13616,Hardin County
GA,769,3524,4293,Henderson County
GA,671,4843,5514,Henry County
GA,3551,12218,15769,Iroquois County
GA,40630,195311,235941,Jackson County
GA,2082,7198,9280,Jasper County
GA,1184,4472,5656,Jefferson County
GA,13957,47059,61016,Jersey County
GA,6071,36007,42078,Jo Daviess County
GA,2129,5337,7466,Johnson County
GA,89,771,860,Kane County
GA,1770,10054,11824,Kankakee County
GA,1884,6492,8376,Kendall County
GA,2716,8725,11441,Knox County
GA,1048,4142,5190,Lake County
GA,1150,6286,7436,LaSalle County
GA,1682,10968,12650,Lawrence County
IL,764,8454,9218,Lee County
KY,2066,37556,39622,Livingston County
TN,1615,11012,12627,Logan County
GA,1013,9147,10160,McDonough County
IL,95,6633,6728,McHenry County
KY,1397,35735,37132,McLean County
TN,946,9191,10137,Macon County
GA,2182,36822,39004,Macoupin County
IL,1264,34308,35572,Madison County
KY,2566,63410,65976,Marion County
TN,2115,36866,38981,Marshall County
GA,1860,11540,13400,Mason County
IL,942,9026,9968,Massac County
KY,2244,38128,40372,Menard County
TN,1793,11584,13377,Mercer County
GA,7485,26797,34282,Monroe County
KY,3841,26334,30175,Montgomery County
GA,4107,26659,30766,Morgan County
KY,463,26196,26659,Moultrie County
GA,2036,13220,15256,Ogle County
NC,12384,40911,53295,Peoria County
GA,6336,44620,50956,Perry County
NC,16684,72311,88995,Piatt County
GA,1680,7032,8712,Pike County
IL,1014,11374,12388,Pope County
KS,1630,5772,7402,Pulaski County
KY,1104,10785,11889,Putnam County
NC,2614,10730,13344,Randolph County
TN,1730,8995,10725,Richland County
GA,1017,11343,12360,Rock Island County
IL,351,15685,16036,St. Clair County
KS,967,10083,11050,Saline County
KY,441,15096,15537,Sangamon County
NC,1951,15041,16992,Schuyler County
TN,1067,13306,14373,Scott County
GA,1670,5936,7606,Shelby County
IL,1004,10278,11282,Stark County
KS,1620,4676,6296,Stephenson County
KY,1094,9689,10783,Tazewell County
NC,2604,9634,12238,Union County
TN,1720,7899,9619,Vermilion County
GA,1157,10768,11925,Wabash County
IL,491,15110,15601,Warren County
KS,1107,9508,10615,Washington County
KY,581,14521,15102,Wayne County
NC,2091,14466,16557,White County
TN,1207,12731,13938,Whiteside County
GA,1699,11295,12994,Will County
IL,1033,15637,16670,Williamson County
KS,1649,10035,11684,Winnebago County
KY,1123,15048,16171,Woodford County
NC,2633,14993,17626,Adams County
TN,1749,13258,15007,Allen County
GA,1859,9073,10932,Bartholomew County
IL,1193,13415,14608,Benton County
KS,1809,7813,9622,Blackford County
KY,1283,12826,14109,Boone County
NC,2793,12771,15564,Brown County
TN,1909,11036,12945,Carroll County
GA,65894,264759,330653,Cass County
GA,1206,7265,8471,Clark County
GA,244,842,1086,Clay County
GA,4457,22188,26645,Clinton County
GA,3379,15801,19180,Crawford County
GA,2432,9171,11603,Daviess County
GA,1270,6134,7404,Dearborn County
IL,692,5032,5724,Decatur County
NC,1446,6319,7765,DeKalb County
TN,2251,14143,16394,Delaware County
GA,754,5227,5981,Dubois County
IL,176,4125,4301,Elkhart County
NC,930,5412,6342,Fayette County
TN,1735,13236,14971,Floyd County
GA,1140,6723,7863,Fountain County
IL,562,5621,6183,Franklin County
NC,1316,6908,8224,Fulton County
TN,2121,14732,16853,Gibson County
GA,2365,14056,16421,Grant County
IL,1787,12954,14741,Greene County
NC,2541,14241,16782,Hamilton County
TN,3346,22065,25411,Hancock County
GA,20653,152030,172683,Harrison County
GA,1733,9094,10827,Hendricks County
GA,7012,43073,50085,Henry County
GA,1140,3700,4840,Howard County
IL,597,3968,4565,Huntington County
KY,590,3024,3614,Jackson County
TN,961,4010,4971,Jasper County
GA,632,3937,4569,Jay County
IL,89,4205,4294,Jefferson County
KY,82,3261,3343,Jennings County
TN,453,4247,4700,Johnson County
GA,622,3079,3701,Knox County
IL,79,3347,3426,Kosciusko County
KY,72,2403,2475,LaGrange County
TN,443,3389,3832,Lake County
GA,996,4068,5064,LaPorte County
IL,453,4336,4789,Lawrence County
KY,446,3392,3838,Madison County
TN,817,4378,5195,Marion County
GA,2607,9000,11607,Marshall County
GA,727,4371,5098,Martin County
GA,2150,7292,9442,Miami County
KY,1127,7465,8592,Monroe County
GA,1218,7622,8840,Montgomery County
KY,195,7795,7990,Morgan County
GA,1128,4120,5248,Newton County
GA,7084,42183,49267,Noble County
IL,3739,24323,28062,Ohio County
KY,3562,22701,26263,Orange County
TN,4468,26870,31338,Owen County
GA,3791,25790,29581,Parke County
IL,446,7930,8376,Perry County
KY,269,6308,6577,Pike County
TN,1175,10477,11652,Porter County
GA,3648,24426,28074,Posey County
IL,303,6566,6869,Pulaski County
KY,126,4944,5070,Putnam County
TN,1032,9113,10145,Randolph County
GA,4659,28343,33002,Ripley County
IL,1314,10483,11797,Rush County
KY,1137,8861,9998,St. Joseph County
TN,2043,13030,15073,Scott County
GA,7896,34658,42554,Shelby County
GA,861,3666,4527,Spencer County
GA,1046,4997,6043,Starke County
GA,1429,5986,7415,Steuben County
GA,2569,6723,9292,Sullivan County
IL,1641,10855,12496,Switzerland County
KS,1579,4181,5760,Tippecanoe County
KY,7414,121618,129032,Tipton County
TN,2088,13085,15173,Union County
GA,1657,10542,12199,Vanderburgh County
IL,729,14674,15403,Vermillion County
KS,667,8000,8667,Vigo County
KY,6502,125437,131939,Wabash County
TN,1176,16904,18080,Warren County
GA,1626,4217,5843,Warrick County
IL,698,8349,9047,Washington County
KS,636,1675,2311,Wayne County
KY,6471,119112,125583,Wells County
TN,1145,10579,11724,White County
GA,7576,114974,122550,Whitley County
IL,6648,119106,125754,Adair County
KS,6586,112432,119018,Adams County
