Total SNAP,CountyState,Life Expectancy
7847,Southeast Fairbanks Census Area Alaska,77.74
7489,Valdez-Cordova Census Area Alaska,77.80
9891,Wrangell City And Borough Alaska,77.94
10779,Yakutat City And Borough Alaska,79.44
40247,Yukon-Koyukuk Census Area Alaska,74.22
11271,Apache County Arizona,74.19
5181,Cochise County Arizona,78.51
1290,Coconino County Arizona,79.11
3888,Gila County Arizona,76.33
3914,Graham County Arizona,77.28
6512,Greenlee County Arizona,78.05
6643,La Paz County Arizona,80.36
7220,Maricopa County Arizona,79.84
6498,Mohave County Arizona,75.28
227553,Navajo County Arizona,75.76
201859,Pima County Arizona,79.12
422914,Pinal County Arizona,79.57
4842,Santa Cruz County Arizona,81.68
3053,Yavapai County Arizona,78.98
2801,Yuma County Arizona,80.36
1012,Arkansas County Arkansas,74.49
6326,Ashley County Arkansas,74.86
2802,Baxter County Arkansas,76.96
28811,Benton County Arkansas,79.53
26695,Boone County Arkansas,77.34
52704,Bradley County Arkansas,74.53
11446,Calhoun County Arkansas,75.74
8089,Carroll County Arkansas,78.09
29009,Chicot County Arkansas,73.52
19405,Clark County Arkansas,75.92
29204,Clay County Arkansas,74.96
6262,Cleburne County Arkansas,77.47
3229,Cleveland County Arkansas,76.17
378040,Columbia County Arkansas,74.66
329328,Conway County Arkansas,76.19
704139,Craighead County Arkansas,76.08
7169,Crawford County Arkansas,75.97
7581,Crittenden County Arkansas,72.35
23592,Cross County Arkansas,74.23
6425,Dallas County Arkansas,74.36
4379,Desha County Arkansas,73.94
4325,Drew County Arkansas,75.94
2279,Faulkner County Arkansas,77.31
3992,Franklin County Arkansas,75.79
30593,Fulton County Arkansas,76.41
4169,Garland County Arkansas,75.81
8155,Grant County Arkansas,76.08
2333,Greene County Arkansas,75.23
7895,Hempstead County Arkansas,75.18
11881,Hot Spring County Arkansas,75.81
6059,Howard County Arkansas,74.94
2426,Independence County Arkansas,75.96
6412,Izard County Arkansas,76.20
590,Jackson County Arkansas,74.01
14256,Jefferson County Arkansas,74.51
8902,Johnson County Arkansas,76.54
10365,Lafayette County Arkansas,74.22
4874,Lawrence County Arkansas,75.08
11446,Lee County Arkansas,73.65
10202,Lincoln County Arkansas,76.34
16774,Little River County Arkansas,75.19
9991,Logan County Arkansas,75.74
3718,Lonoke County Arkansas,75.92
7081,Madison County Arkansas,76.52
8554,Marion County Arkansas,76.88
5735,Miller County Arkansas,75.75
8349,Mississippi County Arkansas,72.44
9822,Monroe County Arkansas,73.75
7003,Montgomery County Arkansas,77.25
5648,Nevada County Arkansas,74.92
7121,Newton County Arkansas,77.54
4302,Ouachita County Arkansas,73.53
38239,Perry County Arkansas,75.59
20494,Phillips County Arkansas,71.29
64054,Pike County Arkansas,76.09
20525,Poinsett County Arkansas,72.58
2780,Polk County Arkansas,75.77
46340,Pope County Arkansas,76.90
60816,Prairie County Arkansas,76.20
43071,Pulaski County Arkansas,76.31
86631,Randolph County Arkansas,76.19
8461,Saint Francis County Arkansas,73.53
23449,Saline County Arkansas,78.10
21915,Scott County Arkansas,75.91
36903,Searcy County Arkansas,76.56
3835,Sebastian County Arkansas,76.47
6045,Sevier County Arkansas,75.30
5746,Sharp County Arkansas,75.64
4725,Stone County Arkansas,76.74
4564,Union County Arkansas,73.76
3543,Van Buren County Arkansas,77.27
5110,Washington County Arkansas,78.12
2892,White County Arkansas,76.12
5679,Woodruff County Arkansas,73.41
7289,Yell County Arkansas,75.66
2874,Alameda County California,80.92
656,Alpine County California,78.83
3443,Amador County California,79.56
5053,Butte County California,77.95
5402,Calaveras County California,79.71
3184,Colusa County California,79.65
5971,Contra Costa County California,80.95
7581,Del Norte County California,76.21
6942,El Dorado County California,80.83
4724,Fresno County California,78.63
7511,Glenn County California,78.17
9121,Humboldt County California,77.23
4493,Imperial County California,79.92
9169,Inyo County California,78.49
10618,Kern County California,77.28
10337,Kings County California,78.77
11786,Lake County California,75.66
15760,Lassen County California,78.60
4716,Los Angeles County California,80.73
4625,Madera County California,78.91
4526,Marin County California,83.09
4435,Mariposa County California,79.83
5875,Mendocino County California,78.25
3679,Merced County California,78.78
3722,Modoc County California,77.49
1526,Mono County California,82.62
16148,Monterey County California,81.34
22857,Napa County California,80.20
4208,Nevada County California,81.06
2933,Orange County California,81.85
41158,Placer County California,81.04
36655,Plumas County California,78.22
74880,Riverside County California,79.75
3708,Sacramento County California,78.86
3181,San Benito County California,81.38
4622,San Bernardino County California,78.23
4683,San Diego County California,80.86
6124,San Francisco County California,81.11
11337,San Joaquin County California,78.12
3226,San Luis Obispo County California,80.82
16696,San Mateo County California,82.35
3450,Santa Barbara County California,81.38
11902,Santa Clara County California,82.70
7695,Santa Cruz County California,81.15
12328,Shasta County California,76.59
12047,Sierra County California,78.95
16680,Siskiyou County California,77.51
15986,Solano County California,79.15
2706,Sonoma County California,80.35
114884,Stanislaus County California,77.94
6389,Sutter County California,78.56
18174,Tehama County California,77.66
12604,Trinity County California,77.07
4022,Tulare County California,77.86
21009,Tuolumne County California,79.23
21946,Ventura County California,81.39
6016,Yolo County California,80.07
10655,Yuba County California,76.10
4254,Adams County Colorado,79.85
17074,Alamosa County Colorado,77.36
8921,Arapahoe County Colorado,79.85
8945,Archuleta County Colorado,81.87
792,Baca County Colorado,77.98
5756,Bent County Colorado,76.78
48785,Boulder County Colorado,79.85
30662,Broomfield County Colorado,79.85
27140,Chaffee County Colorado,80.76
32443,Cheyenne County Colorado,79.60
14320,Clear Creek County Colorado,81.25
10798,Conejos County Colorado,78.07
29422,Costilla County Colorado,77.90
11299,Crowley County Colorado,77.88
7777,Custer County Colorado,81.20
20313,Delta County Colorado,78.93
3801,Denver County Colorado,79.85
6344,Dolores County Colorado,79.45
10750,Douglas County Colorado,83.27
1642,Eagle County Colorado,85.35
195476,El Paso County Colorado,79.82
294,Elbert County Colorado,81.37
4830,Fremont County Colorado,77.77
48969,Garfield County Colorado,80.37
8024,Gilpin County Colorado,80.56
3260,Grand County Colorado,82.35
109478,Gunnison County Colorado,81.57
9799,Hinsdale County Colorado,83.24
17813,Huerfano County Colorado,77.44
377124,Jackson County Colorado,80.23
6046,Jefferson County Colorado,79.85
26632,Kiowa County Colorado,78.66
60268,Kit Carson County Colorado,79.37
3129,La Plata County Colorado,81.39
240870,Lake County Colorado,79.64
39527,Larimer County Colorado,81.47
16299,Las Animas County Colorado,77.57
5776,Lincoln County Colorado,79.48
1777807,Logan County Colorado,79.46
43902,Mesa County Colorado,78.89
14163,Mineral County Colorado,81.23
2671,Moffat County Colorado,78.54
22903,Montezuma County Colorado,77.51
91424,Montrose County Colorado,79.50
2106,Morgan County Colorado,78.85
1089,Otero County Colorado,76.72
64912,Ouray County Colorado,82.68
11215,Park County Colorado,82.09
9844,Phillips County Colorado,80.27
307056,Pitkin County Colorado,86.00
27203,Prowers County Colorado,77.55
2306,Pueblo County Colorado,77.53
401081,Rio Blanco County Colorado,79.19
348860,Rio Grande County Colorado,77.72
10896,Routt County Colorado,82.30
567152,Saguache County Colorado,79.55
344858,San Juan County Colorado,79.63
81338,San Miguel County Colorado,83.42
168332,Sedgwick County Colorado,78.26
28359,Summit County Colorado,86.33
35674,Teller County Colorado,80.60
55340,Washington County Colorado,79.99
175452,Weld County Colorado,79.85
36799,Yuma County Colorado,79.29
41253,Fairfield County Connecticut,81.55
504,Hartford County Connecticut,80.07
10447,Litchfield County Connecticut,80.69
67815,Middlesex County Connecticut,80.78
50117,New Haven County Connecticut,79.79
142258,New London County Connecticut,80.26
20113,Tolland County Connecticut,81.19
16858,Windham County Connecticut,78.87
2624,Kent County Delaware,77.34
192944,New Castle County Delaware,78.49
9850,Sussex County Delaware,78.46
109029,District Of Columbia District of Columbia,76.19
28152,Alachua County Florida,78.27
24035,Baker County Florida,75.10
6683,Bay County Florida,76.67
1825,Bradford County Florida,75.84
727,Brevard County Florida,78.55
1794,Broward County Florida,79.23
27363,Calhoun County Florida,75.91
2058,Charlotte County Florida,80.22
224,Citrus County Florida,77.20
1097,Clay County Florida,77.93
3199,Collier County Florida,82.55
1643,Columbia County Florida,75.24
1457,Desoto County Florida,79.13
776,Dixie County Florida,75.21
6129,Duval County Florida,76.31
9457,Escambia County Florida,76.17
9246,Flagler County Florida,79.57
12574,Franklin County Florida,76.45
146863,Gadsden County Florida,74.76
291,Gilchrist County Florida,76.73
9790,Glades County Florida,79.20
6356,Gulf County Florida,76.52
12339,Hamilton County Florida,75.77
6795,Hardee County Florida,78.23
3361,Hendry County Florida,76.71
9344,Hernando County Florida,77.42
12391,Highlands County Florida,78.79
8957,Hillsborough County Florida,78.20
14940,Holmes County Florida,74.78
2206,Indian River County Florida,80.08
1911,Jackson County Florida,76.22
114366,Jefferson County Florida,76.61
8597,Lafayette County Florida,76.86
7335,Lake County Florida,78.88
749,Lee County Florida,80.30
1018,Leon County Florida,79.00
1357,Levy County Florida,75.44
48,Liberty County Florida,76.11
2676,Madison County Florida,75.58
274,Manatee County Florida,79.91
9752,Marion County Florida,77.53
10060,Martin County Florida,80.92
1108,Miami-Dade County Florida,80.09
4673,Monroe County Florida,78.30
4810,Nassau County Florida,77.65
2955,Okaloosa County Florida,78.30
9244,Okeechobee County Florida,75.95
18722,Orange County Florida,79.12
19030,Osceola County Florida,78.82
10078,Palm Beach County Florida,80.83
13643,Pasco County Florida,77.56
13780,Pinellas County Florida,78.47
11925,Polk County Florida,77.82
9797,Putnam County Florida,74.84
19275,Saint Johns County Florida,80.47
19583,Saint Lucie County Florida,78.78
10631,Santa Rosa County Florida,77.94
14196,Sarasota County Florida,81.11
14333,Seminole County Florida,80.08
12478,Sumter County Florida,80.99
1060,Suwannee County Florida,75.76
10538,Taylor County Florida,75.67
10846,Union County Florida,68.12
1894,Volusia County Florida,77.58
5459,Wakulla County Florida,76.53
5596,Walton County Florida,77.11
3741,Washington County Florida,74.98
4711,Appling County Georgia,74.38
14189,Atkinson County Georgia,73.73
14497,Bacon County Georgia,72.96
5545,Baker County Georgia,77.57
9110,Baldwin County Georgia,76.18
9247,Banks County Georgia,77.53
7392,Barrow County Georgia,76.29
4421,Bartow County Georgia,75.97
13899,Ben Hill County Georgia,73.63
14207,Berrien County Georgia,75.16
5255,Bibb County Georgia,73.54
8820,Bleckley County Georgia,75.62
8957,Brantley County Georgia,74.77
7102,Brooks County Georgia,75.68
2954,Bryan County Georgia,75.87
12432,Bulloch County Georgia,76.99
12740,Burke County Georgia,73.33
3788,Butts County Georgia,74.34
7353,Calhoun County Georgia,73.99
7490,Camden County Georgia,77.52
5635,Candler County Georgia,74.40
52517,Carroll County Georgia,75.36
32271,Catoosa County Georgia,78.13
34781,Charlton County Georgia,75.45
14535,Chatham County Georgia,76.65
174,Chattahoochee County Georgia,77.05
1034,Chattooga County Georgia,74.62
1144,Cherokee County Georgia,79.14
3676,Clarke County Georgia,78.32
3791,Clay County Georgia,74.19
6323,Clayton County Georgia,76.64
6323,Clinch County Georgia,73.14
39758,Cobb County Georgia,79.69
4688,Coffee County Georgia,75.07
815,Colquitt County Georgia,74.98
3850,Columbia County Georgia,79.31
3941,Cook County Georgia,74.29
6976,Coweta County Georgia,77.83
3900,Crawford County Georgia,76.60
26995,Crisp County Georgia,74.70
54,Dade County Georgia,75.71
2854,Dawson County Georgia,77.95
5824,Dekalb County Georgia,78.54
10425,Decatur County Georgia,74.43
5354,Dodge County Georgia,74.84
6768,Dooly County Georgia,76.88
406,Dougherty County Georgia,75.45
1874,Douglas County Georgia,76.75
608,Early County Georgia,73.89
306,Echols County Georgia,77.38
4407,Effingham County Georgia,76.86
58405,Elbert County Georgia,74.90
841,Emanuel County Georgia,73.41
4565,Evans County Georgia,74.97
1283,Fannin County Georgia,77.00
2173,Fayette County Georgia,80.82
136,Floyd County Georgia,75.81
462,Forsyth County Georgia,81.13
362,Franklin County Georgia,75.12
1656,Fulton County Georgia,76.99
3660,Gilmer County Georgia,78.23
629,Glascock County Georgia,74.58
3439,Glynn County Georgia,76.54
8276,Gordon County Georgia,75.72
3363,Grady County Georgia,75.71
6173,Greene County Georgia,76.43
11010,Gwinnett County Georgia,80.26
8666,Habersham County Georgia,78.24
11476,Hall County Georgia,78.59
16313,Hancock County Georgia,75.08
40142,Haralson County Georgia,73.93
1645,Harris County Georgia,78.57
85390,Hart County Georgia,76.95
44079,Heard County Georgia,75.00
47980,Henry County Georgia,77.32
6669,Houston County Georgia,77.54
81669,Irwin County Georgia,75.51
3615,Jackson County Georgia,75.76
677399,Jasper County Georgia,76.17
54010,Jeff Davis County Georgia,73.71
116682,Jefferson County Georgia,73.24
57406,Jenkins County Georgia,74.17
239099,Johnson County Georgia,75.81
60632,Jones County Georgia,77.92
9467,Lamar County Georgia,74.66
55293,Lanier County Georgia,75.21
9832,Laurens County Georgia,74.97
118887,Lee County Georgia,77.80
383983,Liberty County Georgia,76.58
4739,Lincoln County Georgia,75.72
33733,Long County Georgia,76.79
38363,Lowndes County Georgia,75.80
37485,Lumpkin County Georgia,77.67
63279,Macon County Georgia,73.79
25797,Madison County Georgia,75.64
991426,Marion County Georgia,75.48
12446,Mcduffie County Georgia,73.51
6770,Mcintosh County Georgia,77.67
284640,Meriwether County Georgia,74.79
104318,Miller County Georgia,75.40
22422,Mitchell County Georgia,75.04
3251,Monroe County Georgia,76.94
22460,Montgomery County Georgia,75.82
5632,Morgan County Georgia,77.31
4274,Murray County Georgia,75.19
6234,Muscogee County Georgia,74.75
11640,Newton County Georgia,75.97
20282,Oconee County Georgia,80.20
51998,Oglethorpe County Georgia,77.95
29240,Paulding County Georgia,78.11
407329,Peach County Georgia,73.82
9332,Pickens County Georgia,77.27
30482,Pierce County Georgia,74.64
15199,Pike County Georgia,76.01
4622,Polk County Georgia,73.83
1837,Pulaski County Georgia,76.47
74880,Putnam County Georgia,77.06
155971,Quitman County Georgia,75.66
60567,Rabun County Georgia,77.56
14651,Randolph County Georgia,74.68
2257,Richmond County Georgia,73.79
8253,Rockdale County Georgia,77.97
79655,Schley County Georgia,76.16
111756,Screven County Georgia,74.38
22732,Seminole County Georgia,74.90
13677,Spalding County Georgia,74.70
15779,Stephens County Georgia,74.85
33920,Stewart County Georgia,74.37
14760,Sumter County Georgia,74.92
316347,Talbot County Georgia,74.24
103623,Taliaferro County Georgia,75.21
241743,Tattnall County Georgia,74.85
125654,Taylor County Georgia,74.45
227993,Telfair County Georgia,75.72
200813,Terrell County Georgia,74.03
38376,Thomas County Georgia,75.27
25415,Tift County Georgia,75.46
81351,Toombs County Georgia,74.41
29051,Towns County Georgia,78.38
72754,Treutlen County Georgia,75.02
70124,Troup County Georgia,74.93
16730,Turner County Georgia,74.10
16103,Twiggs County Georgia,74.59
8731,Union County Georgia,78.39
5065,Upson County Georgia,73.89
144420,Walker County Georgia,75.25
7037,Walton County Georgia,76.38
10505,Ware County Georgia,74.35
8718,Warren County Georgia,74.21
7863,Washington County Georgia,74.96
4622,Wayne County Georgia,74.91
4061,Webster County Georgia,77.67
2119,Wheeler County Georgia,76.51
17577,White County Georgia,78.17
6096,Whitfield County Georgia,76.81
20759,Wilcox County Georgia,74.92
36733,Wilkes County Georgia,74.73
10872,Wilkinson County Georgia,74.84
9034,Worth County Georgia,76.59
82203,Hawaii County Hawaii,80.18
4447,Honolulu County Hawaii,81.39
6972,Kalawao County Hawaii,81.06
7916,Kauai County Hawaii,80.80
6333,Maui County Hawaii,81.06
20124,Ada County Idaho,80.71
13927,Adams County Idaho,80.42
20793,Bannock County Idaho,78.09
20346,Bear Lake County Idaho,78.60
27212,Benewah County Idaho,76.78
9356,Bingham County Idaho,78.52
3013,Blaine County Idaho,82.64
13878,Boise County Idaho,80.74
65213,Bonner County Idaho,79.20
7614,Bonneville County Idaho,79.01
60598,Boundary County Idaho,78.35
111933,Butte County Idaho,78.54
54334,Camas County Idaho,80.82
8053,Canyon County Idaho,78.94
59388,Caribou County Idaho,78.74
1789,Cassia County Idaho,78.81
5230,Clark County Idaho,78.14
42454,Clearwater County Idaho,78.58
22509,Custer County Idaho,80.07
22987,Elmore County Idaho,78.33
27442,Franklin County Idaho,80.22
23656,Fremont County Idaho,79.73
3711,Gem County Idaho,78.41
4189,Gooding County Idaho,78.10
8644,Idaho County Idaho,79.44
24204,Jefferson County Idaho,79.99
4259,Jerome County Idaho,78.33
4737,Kootenai County Idaho,79.45
9192,Latah County Idaho,80.81
28429,Lemhi County Idaho,79.28
8484,Lewis County Idaho,78.49
8962,Lincoln County Idaho,78.27
13417,Madison County Idaho,80.98
19835,Minidoka County Idaho,78.52
5865,Nez Perce County Idaho,78.03
80130,Oneida County Idaho,80.12
43715,Owyhee County Idaho,78.52
46308,Payette County Idaho,78.48
9893,Power County Idaho,78.44
1935,Shoshone County Idaho,75.96
10926,Teton County Idaho,81.77
27077,Twin Falls County Idaho,78.12
16283,Valley County Idaho,81.39
16895,Washington County Idaho,78.72
17804,Adams County Illinois,78.67
7010,Alexander County Illinois,74.33
7622,Bond County Illinois,78.71
18495,Boone County Illinois,79.74
7701,Brown County Illinois,78.89
8313,Bureau County Illinois,79.31
36165,Calhoun County Illinois,78.82
2338,Carroll County Illinois,78.90
129306,Cass County Illinois,77.36
3624,Champaign County Illinois,80.29
124079,Christian County Illinois,77.90
21476,Clark County Illinois,77.49
21215,Clay County Illinois,77.46
21583,Clinton County Illinois,79.52
21322,Coles County Illinois,78.11
22865,Cook County Illinois,78.44
16486,Crawford County Illinois,77.72
8573,Cumberland County Illinois,78.76
33331,De Witt County Illinois,78.12
5029,Dekalb County Illinois,79.79
4885,Douglas County Illinois,78.88
8394,Dupage County Illinois,81.61
4894,Edgar County Illinois,77.26
4750,Edwards County Illinois,77.51
8259,Effingham County Illinois,78.95
8319,Fayette County Illinois,78.63
8175,Ford County Illinois,77.51
11684,Franklin County Illinois,75.36
13616,Fulton County Illinois,78.03
4293,Gallatin County Illinois,75.38
5514,Greene County Illinois,77.62
15769,Grundy County Illinois,78.62
235941,Hamilton County Illinois,77.76
9280,Hancock County Illinois,79.75
5656,Hardin County Illinois,75.35
61016,Henderson County Illinois,78.61
42078,Henry County Illinois,79.08
7466,Iroquois County Illinois,77.64
860,Jackson County Illinois,78.21
11824,Jasper County Illinois,79.05
8376,Jefferson County Illinois,77.27
11441,Jersey County Illinois,78.05
5190,Jo Daviess County Illinois,80.74
7436,Johnson County Illinois,78.10
12650,Kane County Illinois,80.58
9218,Kankakee County Illinois,77.15
39622,Kendall County Illinois,80.94
12627,Knox County Illinois,77.62
10160,Lasalle County Illinois,78.06
6728,Lake County Illinois,80.83
37132,Lawrence County Illinois,76.14
10137,Lee County Illinois,78.31
39004,Livingston County Illinois,78.06
35572,Logan County Illinois,78.43
65976,Macon County Illinois,77.95
38981,Macoupin County Illinois,78.14
13400,Madison County Illinois,77.50
9968,Marion County Illinois,76.44
40372,Marshall County Illinois,78.18
13377,Mason County Illinois,77.32
34282,Massac County Illinois,75.89
30175,Mcdonough County Illinois,79.63
30766,Mchenry County Illinois,79.89
26659,Mclean County Illinois,79.88
15256,Menard County Illinois,78.57
53295,Mercer County Illinois,79.41
50956,Monroe County Illinois,80.23
88995,Montgomery County Illinois,77.89
8712,Morgan County Illinois,78.36
12388,Moultrie County Illinois,78.14
7402,Ogle County Illinois,79.57
11889,Peoria County Illinois,78.07
13344,Perry County Illinois,77.45
10725,Piatt County Illinois,79.41
12360,Pike County Illinois,78.55
16036,Pope County Illinois,78.04
11050,Pulaski County Illinois,74.77
15537,Putnam County Illinois,79.74
16992,Randolph County Illinois,77.80
14373,Richland County Illinois,78.12
7606,Rock Island County Illinois,78.84
11282,Saint Clair County Illinois,76.68
6296,Saline County Illinois,74.87
10783,Sangamon County Illinois,78.29
12238,Schuyler County Illinois,78.72
9619,Scott County Illinois,78.74
11925,Shelby County Illinois,79.73
15601,Stark County Illinois,78.41
10615,Stephenson County Illinois,79.49
15102,Tazewell County Illinois,78.67
16557,Union County Illinois,76.63
13938,Vermilion County Illinois,76.49
12994,Wabash County Illinois,78.21
16670,Warren County Illinois,78.47
11684,Washington County Illinois,78.92
16171,Wayne County Illinois,78.05
17626,White County Illinois,76.87
15007,Whiteside County Illinois,78.77
10932,Will County Illinois,79.76
14608,Williamson County Illinois,76.90
9622,Winnebago County Illinois,78.13
14109,Woodford County Illinois,80.29
15564,Adams County Indiana,79.64
12945,Allen County Indiana,78.70
330653,Bartholomew County Indiana,77.72
8471,Benton County Indiana,78.35
1086,Blackford County Indiana,76.90
26645,Boone County Indiana,78.79
19180,Brown County Indiana,79.36
11603,Carroll County Indiana,79.67
7404,Cass County Indiana,77.74
5724,Clark County Indiana,76.41
7765,Clay County Indiana,76.68
16394,Clinton County Indiana,77.78
5981,Crawford County Indiana,76.11
4301,Daviess County Indiana,77.29
6342,Dekalb County Indiana,77.93
14971,Dearborn County Indiana,78.24
7863,Decatur County Indiana,78.09
6183,Delaware County Indiana,77.05
8224,Dubois County Indiana,78.93
16853,Elkhart County Indiana,78.88
16421,Fayette County Indiana,75.78
14741,Floyd County Indiana,77.29
16782,Fountain County Indiana,77.17
25411,Franklin County Indiana,78.97
172683,Fulton County Indiana,76.93
10827,Gibson County Indiana,78.26
50085,Grant County Indiana,76.37
4840,Greene County Indiana,76.85
4565,Hamilton County Indiana,81.36
3614,Hancock County Indiana,78.57
4971,Harrison County Indiana,77.92
4569,Hendricks County Indiana,79.91
4294,Henry County Indiana,76.97
3343,Howard County Indiana,77.27
4700,Huntington County Indiana,78.21
3701,Jackson County Indiana,76.62
3426,Jasper County Indiana,77.94
2475,Jay County Indiana,77.36
3832,Jefferson County Indiana,76.32
5064,Jennings County Indiana,75.72
4789,Johnson County Indiana,78.51
3838,Knox County Indiana,76.35
5195,Kosciusko County Indiana,78.37
11607,Lagrange County Indiana,79.60
5098,Laporte County Indiana,77.06
9442,Lake County Indiana,76.48
8592,Lawrence County Indiana,76.53
8840,Madison County Indiana,76.57
7990,Marion County Indiana,76.29
5248,Marshall County Indiana,79.08
49267,Martin County Indiana,77.22
28062,Miami County Indiana,77.75
26263,Monroe County Indiana,80.06
31338,Montgomery County Indiana,77.99
29581,Morgan County Indiana,77.35
8376,Newton County Indiana,77.18
6577,Noble County Indiana,77.73
11652,Ohio County Indiana,78.24
28074,Orange County Indiana,76.81
6869,Owen County Indiana,76.61
5070,Parke County Indiana,77.96
10145,Perry County Indiana,77.82
33002,Pike County Indiana,77.59
11797,Porter County Indiana,78.74
9998,Posey County Indiana,78.74
15073,Pulaski County Indiana,77.14
42554,Putnam County Indiana,78.32
4527,Randolph County Indiana,77.90
6043,Ripley County Indiana,77.95
7415,Rush County Indiana,77.56
9292,Saint Joseph County Indiana,78.18
12496,Scott County Indiana,73.78
5760,Shelby County Indiana,77.40
129032,Spencer County Indiana,78.74
15173,Starke County Indiana,74.98
12199,Steuben County Indiana,78.88
15403,Sullivan County Indiana,75.73
8667,Switzerland County Indiana,76.58
131939,Tippecanoe County Indiana,79.03
18080,Tipton County Indiana,78.71
5843,Union County Indiana,77.71
9047,Vanderburgh County Indiana,77.40
2311,Vermillion County Indiana,75.87
125583,Vigo County Indiana,76.47
11724,Wabash County Indiana,77.86
122550,Warren County Indiana,78.39
125754,Warrick County Indiana,79.08
119018,Washington County Indiana,75.97
242290,Wayne County Indiana,76.94
128431,Wells County Indiana,79.46
15167,White County Indiana,78.22
18371,Whitley County Indiana,78.97
11635,Adair County Iowa,79.43
134907,Adams County Iowa,78.98
21048,Allamakee County Iowa,79.92
5124,Appanoose County Iowa,78.33
4588,Audubon County Iowa,80.52
8268,Benton County Iowa,81.01
6786,Black Hawk County Iowa,79.34
4858,Boone County Iowa,79.01
24301,Bremer County Iowa,81.87
6950,Buchanan County Iowa,79.25
5110,Buena Vista County Iowa,80.75
6238,Butler County Iowa,80.30
5346,Calhoun County Iowa,79.70
3506,Carroll County Iowa,80.36
4634,Cass County Iowa,78.84
6447,Cedar County Iowa,81.32
4607,Cerro Gordo County Iowa,79.41
5735,Cherokee County Iowa,80.08
16540,Chickasaw County Iowa,80.52
2761,Clarke County Iowa,78.76
5809,Clay County Iowa,80.19
43650,Clayton County Iowa,80.26
8587,Clinton County Iowa,78.52
10948,Crawford County Iowa,80.23
4715,Dallas County Iowa,81.27
5777,Davis County Iowa,79.77
9924,Decatur County Iowa,78.36
3676,Delaware County Iowa,80.91
10818,Des Moines County Iowa,79.02
3147,Dickinson County Iowa,81.16
13918,Dubuque County Iowa,79.97
